Symbol,Name,Sector
MMM,3M Company,Industrials
ABT,Abbott Laboratories,Health Care
ABBV,AbbVie,Health Care
ACN,Accenture plc,Information Technology
ATVI,Activision Blizzard,Information Technology
AYI,Acuity Brands Inc,Industrials
ADBE,Adobe Systems Inc,Information Technology
AAP,Advance Auto Parts,Consumer Discretionary
AES,AES Corp,Utilities
AMG,Affiliated Managers Group Inc,Financials
AFL,AFLAC Inc,Financials
A,Agilent Technologies Inc,Health Care
APD,Air Products & Chemicals Inc,Materials
AKAM,Akamai Technologies Inc,Information Technology
ALK,Alaska Air Group Inc,Industrials
ALB,Albemarle Corp,Materials
AA,Alcoa Inc,Materials
ALLE,Allegion,Industrials
ADS,Alliance Data Systems,Information Technology
LNT,Alliant Energy Corp,Utilities
ALL,Allstate Corp,Financials
GOOGL,Alphabet Inc Class A,Information Technology
GOOG,Alphabet Inc Class C,Information Technology
MO,Altria Group Inc,Consumer Staples
AMZN,Amazon.com Inc,Consumer Discretionary
AEE,Ameren Corp,Utilities
AAL,American Airlines Group,Industrials
AEP,American Electric Power,Utilities
AXP,American Express Co,Financials
AIG,"American International Group, Inc.",Financials
AMT,American Tower Corp A,Financials
AWK,American Water Works Company Inc,Utilities
AMP,Ameriprise Financial,Financials
ABC,AmerisourceBergen Corp,Health Care
AME,Ametek,Industrials
AMGN,Amgen Inc,Health Care
APH,Amphenol Corp A,Industrials
ADI,"Analog Devices, Inc.",Information Technology
ANTM,Anthem Inc.,Health Care
AON,Aon plc,Financials
APA,Apache Corporation,Energy
AIV,Apartment Investment & Mgmt,Financials
AAPL,Apple Inc.,Information Technology
AMAT,Applied Materials Inc,Information Technology
ADM,Archer-Daniels-Midland Co,Consumer Staples
AJG,Arthur J. Gallagher & Co.,Financials
AIZ,Assurant Inc,Financials
T,AT&T Inc,Telecommunications Services
ADSK,Autodesk Inc,Information Technology
ADP,Automatic Data Processing,Information Technology
AN,AutoNation Inc,Consumer Discretionary
AZO,AutoZone Inc,Consumer Discretionary
AVGO,Avago Technologies,Information Technology
AVB,"AvalonBay Communities, Inc.",Financials
AVY,Avery Dennison Corp,Materials
BHI,Baker Hughes Inc,Energy
BLL,Ball Corp,Materials
BAC,Bank of America Corp,Financials
BAX,Baxter International Inc.,Health Care
BDX,Becton Dickinson,Health Care
BBBY,Bed Bath & Beyond,Consumer Discretionary
BRK-B,Berkshire Hathaway,Financials
BBY,Best Buy Co. Inc.,Consumer Discretionary
BIIB,BIOGEN IDEC Inc.,Health Care
BLK,BlackRock,Financials
HRB,Block H&R,Financials
BA,Boeing Company,Industrials
BWA,BorgWarner,Consumer Discretionary
BXP,Boston Properties,Financials
BSX,Boston Scientific,Health Care
BMY,Bristol-Myers Squibb,Health Care
BF-B,Brown-Forman Corporation,Consumer Staples
CHRW,C. H. Robinson Worldwide,Industrials
CPB,Campbell Soup,Consumer Staples
COF,Capital One Financial,Financials
CAH,Cardinal Health Inc.,Health Care
KMX,Carmax Inc,Consumer Discretionary
CCL,Carnival Corp.,Consumer Discretionary
CAT,Caterpillar Inc.,Industrials
CNC,Centene Corporation,Health Care
CNP,CenterPoint Energy,Utilities
CERN,Cerner,Health Care
CF,CF Industries Holdings Inc,Materials
SCHW,Charles Schwab Corporation,Financials
CHK,Chesapeake Energy,Energy
CVX,Chevron Corp.,Energy
CMG,Chipotle Mexican Grill,Consumer Discretionary
CB,Chubb Limited,Financials
CHD,Church & Dwight,Consumer Staples
CI,CIGNA Corp.,Health Care
CINF,Cincinnati Financial,Financials
CTAS,Cintas Corporation,Industrials
CSCO,Cisco Systems,Information Technology
C,Citigroup Inc.,Financials
CFG,Citizens Financial Group,Financials
CTXS,Citrix Systems,Information Technology
CME,CME Group Inc.,Financials
CMS,CMS Energy,Utilities
CTSH,Cognizant Technology Solutions,Information Technology
CL,Colgate-Palmolive,Consumer Staples
CMCSA,Comcast A Corp,Consumer Discretionary
CMA,Comerica Inc.,Financials
CAG,ConAgra Foods Inc.,Consumer Staples
COP,ConocoPhillips,Energy
ED,Consolidated Edison,Utilities
STZ,Constellation Brands,Consumer Staples
GLW,Corning Inc.,Industrials
COST,Costco Co.,Consumer Staples
CCI,Crown Castle International Corp.,Financials
CSX,CSX Corp.,Industrials
CMI,Cummins Inc.,Industrials
CVS,CVS Health,Consumer Staples
DHI,D. R. Horton,Consumer Discretionary
DHR,Danaher Corp.,Industrials
DRI,Darden Restaurants,Consumer Discretionary
DVA,DaVita Inc.,Health Care
DE,Deere & Co.,Industrials
DAL,Delta Air Lines,Industrials
XRAY,Dentsply Sirona,Health Care
DVN,Devon Energy Corp.,Energy
DLR,Digital Realty Trust,Financials
DFS,Discover Financial Services,Financials
DISCA,Discovery Communications-A,Consumer Discretionary
DISCK,Discovery Communications-C,Consumer Discretionary
DG,Dollar General,Consumer Discretionary
DLTR,Dollar Tree,Consumer Discretionary
D,Dominion Resources,Utilities
DOV,Dover Corp.,Industrials
DOW,Dow Chemical,Materials
DTE,DTE Energy Co.,Utilities
DD,Du Pont (E.I.),Materials
DUK,Duke Energy,Utilities
DNB,Dun & Bradstreet,Industrials
ETFC,E*Trade,Financials
EMN,Eastman Chemical,Materials
ETN,Eaton Corporation,Industrials
EBAY,eBay Inc.,Information Technology
ECL,Ecolab Inc.,Materials
EIX,Edison Int'l,Utilities
EW,Edwards Lifesciences,Health Care
EA,Electronic Arts,Information Technology
EMC,EMC Corp.,Information Technology
EMR,Emerson Electric Company,Industrials
ENDP,Endo International,Health Care
ETR,Entergy Corp.,Utilities
EOG,EOG Resources,Energy
EQT,EQT Corporation,Energy
EFX,Equifax Inc.,Financials
EQIX,Equinix,Information Technology
EQR,Equity Residential,Financials
ESS,Essex Property Trust Inc,Financials
EL,Estee Lauder Cos.,Consumer Staples
ES,Eversource Energy,Utilities
EXC,Exelon Corp.,Utilities
EXPE,Expedia Inc.,Consumer Discretionary
EXPD,Expeditors Int'l,Industrials
ESRX,Express Scripts,Health Care
EXR,Extra Space Storage,Financials
XOM,Exxon Mobil Corp.,Energy
FFIV,F5 Networks,Information Technology
FB,Facebook,Information Technology
FAST,Fastenal Co,Industrials
FRT,Federal Realty Investment Trust,Financials
FDX,FedEx Corporation,Industrials
FIS,Fidelity National Information Services,Information Technology
FITB,Fifth Third Bancorp,Financials
FSLR,First Solar Inc,Information Technology
FE,FirstEnergy Corp,Utilities
FISV,Fiserv Inc,Information Technology
FLIR,FLIR Systems,Industrials
FLS,Flowserve Corporation,Industrials
FLR,Fluor Corp.,Industrials
FMC,FMC Corporation,Materials
FTI,FMC Technologies Inc.,Energy
FL,Foot Locker Inc,Consumer Discretionary
F,Ford Motor,Consumer Discretionary
FTV,Fortive Corp,Industrials
FBHS,Fortune Brands Home & Security,Industrials
BEN,Franklin Resources,Financials
FCX,Freeport-McMoran Cp & Gld,Materials
FTR,Frontier Communications,Telecommunications Services
GPS,Gap (The),Consumer Discretionary
GRMN,Garmin Ltd.,Consumer Discretionary
GD,General Dynamics,Industrials
GE,General Electric,Industrials
GGP,General Growth Properties Inc.,Financials
GIS,General Mills,Consumer Staples
GM,General Motors,Consumer Discretionary
GPC,Genuine Parts,Consumer Discretionary
GILD,Gilead Sciences,Health Care
GPN,Global Payments Inc,Information Technology
GS,Goldman Sachs Group,Financials
GT,Goodyear Tire & Rubber,Consumer Discretionary
GWW,Grainger (W.W.) Inc.,Industrials
HAL,Halliburton Co.,Energy
HBI,Hanesbrands Inc,Consumer Discretionary
HOG,Harley-Davidson,Consumer Discretionary
HAR,Harman Int'l Industries,Consumer Discretionary
HRS,Harris Corporation,Information Technology
HIG,Hartford Financial Svc.Gp.,Financials
HAS,Hasbro Inc.,Consumer Discretionary
HCA,HCA Holdings,Health Care
HCP,HCP Inc.,Financials
HP,Helmerich & Payne,Energy
HSIC,Henry Schein,Health Care
HES,Hess Corporation,Energy
HPE,Hewlett Packard Enterprise,Information Technology
HOLX,Hologic,Health Care
HD,Home Depot,Consumer Discretionary
HON,Honeywell Int'l Inc.,Industrials
HRL,Hormel Foods Corp.,Consumer Staples
HST,Host Hotels & Resorts,Financials
HPQ,HP Inc.,Information Technology
HUM,Humana Inc.,Health Care
HBAN,Huntington Bancshares,Financials
ITW,Illinois Tool Works,Industrials
ILMN,Illumina Inc,Health Care
IR,Ingersoll-Rand PLC,Industrials
INTC,Intel Corp.,Information Technology
ICE,Intercontinental Exchange,Financials
IBM,International Bus. Machines,Information Technology
IP,International Paper,Materials
IPG,Interpublic Group,Consumer Discretionary
IFF,Intl Flavors & Fragrances,Materials
INTU,Intuit Inc.,Information Technology
ISRG,Intuitive Surgical Inc.,Health Care
IVZ,Invesco Ltd.,Financials
IRM,Iron Mountain Incorporated,Industrials
JBHT,J. B. Hunt Transport Services,Industrials
JEC,Jacobs Engineering Group,Industrials
JNJ,Johnson & Johnson,Health Care
JCI,Johnson Controls,Consumer Discretionary
JPM,JPMorgan Chase & Co.,Financials
JNPR,Juniper Networks,Information Technology
KSU,Kansas City Southern,Industrials
K,Kellogg Co.,Consumer Staples
KEY,KeyCorp,Financials
KMB,Kimberly-Clark,Consumer Staples
KIM,Kimco Realty,Financials
KMI,Kinder Morgan,Energy
KLAC,KLA-Tencor Corp.,Information Technology
KSS,Kohl's Corp.,Consumer Discretionary
KHC,Kraft Heinz Co,Consumer Staples
KR,Kroger Co.,Consumer Staples
KO, Coca Cola, Consumer Staples
LB,L Brands Inc.,Consumer Discretionary
LLL,L-3 Communications Holdings,Industrials
LH,Laboratory Corp. of America Holding,Health Care
LRCX,Lam Research,Information Technology
LM,Legg Mason,Financials
LEG,Leggett & Platt,Industrials
LEN,Lennar Corp.,Consumer Discretionary
LUK,Leucadia National Corp.,Financials
LVLT,Level 3 Communications,Telecommunications Services
LLY,Lilly (Eli) & Co.,Health Care
LNC,Lincoln National,Financials
LLTC,Linear Technology Corp.,Information Technology
LKQ,LKQ Corporation,Consumer Discretionary
LMT,Lockheed Martin Corp.,Industrials
L,Loews Corp.,Financials
LOW,Lowe's Cos.,Consumer Discretionary
LYB,LyondellBasell,Materials
MTB,M&T Bank Corp.,Financials
MAC,Macerich,Financials
M,Macy's Inc.,Consumer Discretionary
MNK,Mallinckrodt Plc,Health Care
MRO,Marathon Oil Corp.,Energy
MPC,Marathon Petroleum,Energy
MAR,Marriott Int'l.,Consumer Discretionary
MMC,Marsh & McLennan,Financials
MLM,Martin Marietta Materials,Materials
MAS,Masco Corp.,Industrials
MA,Mastercard Inc.,Information Technology
MAT,Mattel Inc.,Consumer Discretionary
MKC,McCormick & Co.,Consumer Staples
MCD,McDonald's Corp.,Consumer Discretionary
MCK,McKesson Corp.,Health Care
MJN,Mead Johnson,Consumer Staples
MDT,Medtronic plc,Health Care
MRK,Merck & Co.,Health Care
MET,MetLife Inc.,Financials
KORS,Michael Kors Holdings,Consumer Discretionary
MCHP,Microchip Technology,Information Technology
MU,Micron Technology,Information Technology
MSFT,Microsoft Corp.,Information Technology
MHK,Mohawk Industries,Consumer Discretionary
TAP,Molson Coors Brewing Company,Consumer Staples
MDLZ,Mondelez International,Consumer Staples
MON,Monsanto Co.,Materials
MNST,Monster Beverage,Consumer Staples
MCO,Moody's Corp,Financials
MS,Morgan Stanley,Financials
MSI,Motorola Solutions Inc.,Information Technology
MUR,Murphy Oil,Energy
MYL,Mylan N.V.,Health Care
NDAQ,NASDAQ OMX Group,Financials
NOV,National Oilwell Varco Inc.,Energy
NAVI,Navient,Financials
NTAP,NetApp,Information Technology
NFLX,Netflix Inc.,Information Technology
NWL,Newell Rubbermaid Co.,Consumer Discretionary
NFX,Newfield Exploration Co,Energy
NEM,Newmont Mining Corp. (Hldg. Co.),Materials
NWSA,News Corp. Class A,Consumer Discretionary
NWS,News Corp. Class B,Consumer Discretionary
NEE,NextEra Energy,Utilities
NLSN,Nielsen Holdings,Industrials
NKE,Nike,Consumer Discretionary
NI,NiSource Inc.,Utilities
NBL,Noble Energy Inc,Energy
JWN,Nordstrom,Consumer Discretionary
NSC,Norfolk Southern Corp.,Industrials
NTRS,Northern Trust Corp.,Financials
NOC,Northrop Grumman Corp.,Industrials
NRG,NRG Energy,Utilities
NUE,Nucor Corp.,Materials
NVDA,Nvidia Corporation,Information Technology
ORLY,O'Reilly Automotive,Consumer Discretionary
OXY,Occidental Petroleum,Energy
OMC,Omnicom Group,Consumer Discretionary
OKE,ONEOK,Energy
ORCL,Oracle Corp.,Information Technology
OI,Owens-Illinois Inc,Materials
PCAR,PACCAR Inc.,Industrials
PH,Parker-Hannifin,Industrials
PDCO,Patterson Companies,Health Care
PAYX,Paychex Inc.,Information Technology
PYPL,PayPal,Information Technology
PNR,Pentair Ltd.,Industrials
PBCT,People's United Financial,Financials
PEP,PepsiCo Inc.,Consumer Staples
PKI,PerkinElmer,Health Care
PRGO,Perrigo,Health Care
PFE,Pfizer Inc.,Health Care
PCG,PG&E Corp.,Utilities
PM,Philip Morris International,Consumer Staples
PSX,Phillips 66,Energy
PNW,Pinnacle West Capital,Utilities
PXD,Pioneer Natural Resources,Energy
PBI,Pitney-Bowes,Industrials
PNC,PNC Financial Services,Financials
RL,Polo Ralph Lauren Corp.,Consumer Discretionary
PPG,PPG Industries,Materials
PPL,PPL Corp.,Utilities
PX,Praxair Inc.,Materials
PCLN,Priceline.com Inc,Consumer Discretionary
PFG,Principal Financial Group,Financials
PG,Procter & Gamble,Consumer Staples
PGR,Progressive Corp.,Financials
PLD,Prologis,Financials
PRU,Prudential Financial,Financials
PEG,Public Serv. Enterprise Inc.,Utilities
PSA,Public Storage,Financials
PHM,Pulte Homes Inc.,Consumer Discretionary
PVH,PVH Corp.,Consumer Discretionary
QRVO,Qorvo,Information Technology
QCOM,QUALCOMM Inc.,Information Technology
PWR,Quanta Services Inc.,Industrials
DGX,Quest Diagnostics,Health Care
RRC,Range Resources Corp.,Energy
RTN,Raytheon Co.,Industrials
O,Realty Income Corporation,Financials
RHT,Red Hat Inc.,Information Technology
REGN,Regeneron,Health Care
RF,Regions Financial Corp.,Financials
RSG,Republic Services Inc,Industrials
RAI,Reynolds American Inc.,Consumer Staples
RHI,Robert Half International,Industrials
ROK,Rockwell Automation Inc.,Industrials
COL,Rockwell Collins,Industrials
ROP,Roper Industries,Industrials
ROST,Ross Stores,Consumer Discretionary
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary
R,Ryder System,Industrials
SPGI,"S&P Global, Inc.",Financials
CRM,Salesforce.com,Information Technology
SCG,SCANA Corp,Utilities
SLB,Schlumberger Ltd.,Energy
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary
